OA_Topic,match_with_OA,which_is_better,comment_OA,comment_OG,202_gpt4,Title,Abstract
Agroforestry Systems and Biodiversity Enhancement,,,,,"Forage Quality and Dairy Grazing || This topic explores various studies focused on improving forage and pasture management for dairy and livestock farming. Research includes the evaluation of different grass species, such as ryegrass and clover, and their impact on milk production, grazing capacity, and forage nutritive value. Irrigation effects on forage growth, intercropping benefits, and the sustainability of pasture-based systems in different geographic regions are also examined. The goal is to enhance feed efficiency, animal health, and productivity within sustainable agricultural practices.",Timothy cultivars in a New Zealand high country environment,"Herbage yields of 12 timothy cultivars and 4 control grasses were compared over 4 years under 50 250 and 500 (with irrigation) kg N/ha/year in the South Island high country near Lake Tekapo. Timolhy produced high yields (10.9-12.2 t/ha/year) of quality herbagc under high nitrogen and irrigation. Mean yields at 50 and 250 kg N/ha/year were 4.8 and 7.1 t/ha/year respectively under dryland conditions. Differences between the timothy cultivars were small but Grasslands Kahu was the top- or near the top-performing of the 12 cultivars tested at all times. Keywords: cultivars, high country, Phleum pratense"
Effects of Heat Stress on Livestock Production,,,,,"Forage Quality and Dairy Grazing || This topic explores various studies focused on improving forage and pasture management for dairy and livestock farming. Research includes the evaluation of different grass species, such as ryegrass and clover, and their impact on milk production, grazing capacity, and forage nutritive value. Irrigation effects on forage growth, intercropping benefits, and the sustainability of pasture-based systems in different geographic regions are also examined. The goal is to enhance feed efficiency, animal health, and productivity within sustainable agricultural practices.",355 Effects of wintering system on cow and calf performance in a summer-calving intensive production system,"The objective was to test the effect of wintering system on cow-calf performance in a summer-calving intensively managed system. Multiparous (5.1 ± 1.4 yr old), crossbred (Red Angus ? Red Poll ? Tarentaise ? South Devon ? Devon), lactating beef cows (n = 65) with summer born calves (mean calving date = July 14) were used in a randomized complete block design. Pairs in eastern (ARDC; n = 36) or western (PHREC; n = 29) Nebraska were blocked by cow BW (4 blocks at ARDC, 2 blocks at PHREC), stratified by calf age, and assigned randomly within strata to 1 of 2 wintering treatments with either 4 (ARDC) or 2 (PHREC) replications (pens or paddocks) per treatment (4– 8 pairs per replicate). Treatments included: 1) drylot feeding (DL) or 2) corn residue grazing (CS). Drylot pairs were limit-fed (12.5 ± 0.23 kg (ARDC) or 12.4 ± 0.1 kg DM/pair/d (PHREC)) a common diet (60:40 distillers grains:crop residue, DM basis). Regardless of location, CS pairs grazed irrigated corn residue and were supplemented (2.4 kg DM/pair/d) with a dried distillers grains pellet. After cornstalk grazing, all calves were weaned (calf age = 267– 285 d). Cornstalks pairs at ARDC grazed from early-November to mid-April (158 d), while pairs at PHREC grazed for 62 d during 2 separate periods due to snowfall. At both locations, DL cows had greater (P ≤ 0.03) BW change. Ending BCS was not different (P = 0.63) between CS (5.2) and DL (5.4) cows at PHREC. At ARDC, DL cows had greater (P 0.01) ending BCS (6.0) compared to cows that grazed cornstalks (4.6). Cow BCS change was not different (P = 0.34) between treatments at PHREC, but greater (P 0.01) for DL cows at ARDC. Wintering system had no effect (P = 0.57) on calf ending BW at PHREC, but calves wintered in the drylot with their dams at ARDC were heavier (P = 0.02) than CS calves (305 vs. 253 kg, respectively). Likewise, calf ADG and BW per d of age were not affected (P ≥ 0.50) at PHREC, but were greater for DL (P ≤ 0.04) calves at ARDC. Diverging responses observed across locations are likely due to grazing d and residue diet quality. Grazing residue may be a viable option for summer-born pairs, but performance may be similar to or less than DL pairs."
Sustainability of Agricultural Practices in Developing Countries,,,,,"""Global Rice Farming Challenges || This topic encompasses a range of studies focusing on rice farming across different regions, highlighting farmers' perceptions, labor dynamics, productivity issues, and the impact of policies and technologies on rice cultivation. It explores factors affecting rice production from local to international scales, examining the economic and environmental aspects of rice farming practices, challenges in increasing production, income disparities, and the potential for technology adoption in improving yields and sustainability in the rice farming sector.""","ANALYSIS OF FACTORS INFLUENCING THE PRODUCTIVITY OF LOWLAND RICE DURING THE SECOND PLANTING SEASON IN PALEMBANG CITY, INDONESIA","Swamp rice cultivation during the second planting season (October-March), known as IP 200, which is directed in 4 sub-districts in Palembang is expected to contribute to rice production for the city of Palembang and to support national food security program.Out of 4 sub-districts, 3 sub-districts were chosen to be the locations of this survey.Respondents of this survey were members of the farmer groups who were selected randomly using proportionate random sampling.The results showed that lowland rice production in the second planting season was influenced significantly by farmers' technical ability in cultivation (X 1 ), production facilities and infrastructure (X 2 ) and irrigation networks (X 3 )."
Analysis of Pesticide Residues in Food,,,,,"Pesticide Risk and Health Impacts || This topic encompasses studies and reports on the assessment of risks associated with pesticide use, including evaluations by regulatory bodies such as the EFSA. It highlights the health hazards posed by pesticides to humans and the environment, evidenced by investigations into the presence of pesticide residues in various regions. Studies focus on the implications of pesticides in agriculture, the necessity for monitoring their use and accumulation, and the overall impact on public and environmental health.","Comparison of Pesticide Residue Levels in Tomatoes from Open Fields, Greenhouses, Markets and Consumers in Kirinyaga County, Kenya","The study was carried out to determine and compare pesticide residue levels in tomatoes from Mwea Irrigation Scheme. Thirty five tomato samples of Rambo variety randomly collected from open fields, greenhouses, markets and consumers were analyzed using QuEChERS method. Results showed that pesticide residue leve;s from greenhouse tomatoes was higher compared to open fields, markets and consumers. Alpha-cypermethrin level in greenhouse tomatoes (0.0871±0.0087mg/kg) was significantly (p 0.01) higher than from consumers (0.0218±0.0061mg/kg) while difenoconazole from greenhouse tomatoes (0.2597±0.0522 mg/kg) was significantly (p 0.05) higher than from the open field (0.0295±0.0014 mg/kg). Carbendazim level in greenhouse (1.2341±0.1667 mg/kg) tomatoes was significantly (p 0.001) higher than from open fields (0.0596±0.0178 mg/kg), markets (0.1160±0.0490 mg/kg) and consumers (0.0494±0.0155 mg/kg). Imidacloprid in greenhouse tomatoes (0.1446±0.0086 mg/kg) was significantly (p 0.001) higher than from the markets (0.0236±0.0019 mg/kg) and consumers (0.0170±0.0017 mg/kg). High pesticide residue levels in tomatoes are a health concern for consumers. Enforcing the food safety laws, enhancing farmer training on safe use of pesticides and creating awareness on pesticide risks would promote production of uncontaminated crops consumed locally."
Artificial Diet Rearing System for Silkworm Bombyx mori,,,,,"Strawberry Cultivation & Quality || This topic encompasses studies focused on strawberry cultivation methods, including irrigation, fertigation, LED illumination, and the use of biofertilizers like green algae and antitranspirants. Research spans various geographic locations, including the Mediterranean region of Turkey, Korea, Italy, Jordan, and Punjab, India. It touches on the impact of these cultivation practices on fruit yield, quality characteristics like soluble solid content, firmness, and nutrient status, as well as responses to environmental stresses such as salt stress. Additional discussions include the comparison between different growing media and irrigation intervals on strawberry growth and fruit characteristics.",Balanced Fertilization for Improved Nutrient use Efficiency and Mulberry Productivity,"Aim: To study the effects of balanced fertilization in improving leaf yield, quality and nutrient use efficiency in mulberry. Study Design: Experiment was conducted in randomized block design (RBD) consisting of 7 treatments in 3 replications. Place and Duration of Study: The present study was conducted at Central Sericultural Research and Training Institute, Berhampore ((Latitude 24º05?N Longitude 88º15?E; 18 m MSL), West Bengal, India in two seasons during 2018 (July-August; September-October). Methodology: Existing S-1635 mulberry plantation (10year-old; 60 cm ? 60 cm spacing; net plot area: 32 m2) was utilized. Experiments were conducted in two seasons (July-August, 2018; September-October, 2018) in randomized block design (RBD) consisting of 7 treatments in 3 replications. The treatments in this study included, T1: 100% N-P2O5-K2O+S+Zn with Urea-SSP-10:26:26 + Bentonite Sulphur (8 kg ha-1) + Zinc Sulphate (1 kg ha-1) as BF; T2: 75% BF; T3: 100% N-P2O5-K2O alone (Urea-SSP-10:26:26); T4: 75% N-P2O5-K2O alone (Urea-SSP-10:26:26); T5: 100% N-P2O5-K2O alone (Urea-DAP-MOP); T6: 100% N-P2O5-K2O alone (Urea-SSP-MOP) as farmers? practice (FP); T7: Nutrients omission plot (Control). The recommended fertilizer dose (100%) for irrigated mulberry production in the Eastern region is N-P2O5-K2O=67-36-22 kg ha-1 crop-1. All the fertilizers were applied in two equal splits on 15th and 30th day after pruning. Results: This study reveals the importance of balanced fertilization of mulberry with N, P, K, S and Zn for sustainable productivity, which is reflected by the maximum values for leaf yield attributes, chlorophyll content and leaf yield. Further, mulberry leaf quality (in terms of total soluble protein and total soluble sugar) significantly improved with balanced fertilization. Higher PFP and AUE were also recorded with fertilization with compound/complex fertilizers than with straight fertilizers; but the balanced fertilization exhibited remarkable enhancement. Conclusion: The results prove that balanced fertilization of N-P2O5-K2O @ 67-36-22 kg ha-1 (Urea-SSP-10:26:26) with Bentonite sulphur (8 kg ha-1) and zinc sulphate (1 kg ha-1) were effective in improving mulberry productivity through enhanced nutrient use efficiency. This could be useful for realizing maximum productivity in mulberry as an efficient nutrient management strategy in mulberry cultivation."
Adaptation of Forage Production to Climate Change,,,,,"Cucumber Fertigation and Irrigation Studies || This topic encompasses research on optimizing water and nutrient supply for cucumber (Cucumis sativus) cultivation through various irrigation and fertigation methods. It includes studies conducted in different settings, such as open fields and greenhouses, exploring the effects of irrigation regimes, shading conditions, nutrient levels, and water-saving techniques to enhance growth, yield, and water use efficiency. Experiments detailed involve deficit irrigation, drip irrigation schedules, and the impact of fertigation levels on cucumber productivity.",Cucumber cultivation technology using tunnel covers,"Obtaining early cucumber production in the Volgograd region sharp-continental climate with frequent early spring frosts is possible only with using tunnel covers. A distinctive feature of the considered technology is cucumber cultivation using tunnel covers with insulated zone organization by making cracks in the soil with filling them with straw. This provides the comfortable conditions creation for the plants preservation when there is a sharp drop in air and soil temperature in spring and a possible return of spring frosts. Maintaining soil moisture in the 0,5 m layer at the level of 90% of the lowest moisture capacity by drip irrigation allowed to obtain a cucumber yield at the level of 85,9 t/ha, which is 7,8 t/ha more than in the basic option."
Cacao Agroforestry Management and Conservation,,,,,"Plant Disease Control & Management || This topic encompasses studies on various plant diseases caused by pathogens such as fungi and bacteria, examining their impact on crops like groundnuts, potatoes, and legumes. It covers the identification, impact, and management of diseases like rot, wilt, and blight, highlighting the use of biocontrol agents like Trichoderma and fungicides. Research also explores the effectiveness of bioagents and plant resistance inducers in reducing disease incidence, contributing to sustainable agricultural practices and reduced pesticide dependency.","Cacao Phylloplane: The First Battlefield against <i>Moniliophthora perniciosa</i>, Which Causes Witches’ Broom Disease","The phylloplane is the first contact surface between Theobroma cacao and the fungus Moniliophthora perniciosa, which causes witches' broom disease (WBD). We evaluated the index of short glandular trichomes (SGT) in the cacao phylloplane and the effect of irrigation on the disease index of cacao genotypes with or without resistance to WBD, and identified proteins present in the phylloplane. The resistant genotype CCN51 and susceptible Catongo presented a mean index of 1,600 and 700 SGT cm-2, respectively. The disease index in plants under drip irrigation was reduced by approximately 30% compared with plants under sprinkler irrigation prior to inoculation. Leaf water wash (LWW) of the cacao inhibited the germination of spores by up to 98%. Proteins from the LWW of CCN51 were analyzed by two-dimensional sodium dodecyl sulfate polyacrylamide gel electrophoresis followed by tandem mass spectrometry. The gel showed 71 spots and identified a total of 42 proteins (28 from the plant and 14 from bacteria). Proteins related to defense and synthesis of defense metabolites and involved in nucleic acid metabolism were identified. The results support the hypothesis that the proteins and water-soluble compounds secreted to the cacao phylloplane participate in the defense against pathogens. They also suggest that SGT can contribute to the resistance of cacao."
Livestock Farming and Rural Development Practices,,,,,"Agricultural Practices and Grower Insights || This topic encompasses studies on the cultivation practices, knowledge, and adoption rates among farmers growing various crops such as ajwain, gram, jowar, and others in India. It includes research on economic analysis, marketing, and the impact of recommended cultivation technologies on crops like rapeseed-mustard, chilli, and brinjal. The studies also delve into the reasons behind the decline of certain crops and the adoption of soil test recommendations, providing insights from a broad spectrum of respondents, including mandarin and sugarcane growers, regarding the constraints they face.","Production, processing and marketing related problems faced by orange growers in Chhindwara district of Madhya Pradesh","The study was conducted with the objectives to problems faced by Orange Growers in Central India District.The study was purposively conducted in Chhindwara district of Madhya Pradesh where Nagpur mandarin orange is the pride fruit of the region.In all, 200 growers were considered for the study.In production aspect Study revealed that Shortage of irrigation water during summer was top most problem faced by the orange growers, Lack of capital rank second followed by High cost of labour third major problem.In processing aspect Study revealed that Lack of storage facilities near production Areas were the first major problems in processing operation of orange, lack of waxing, grading and packing plant were second major problem, Non-availability of processing plant were third problem faced by growers.In marketing aspect Study revealed that Lack of competition among buyers was the first major problem faced by farmers and Lack of market information was the second important problem faced by the growers."
Agroecology and Sustainable Agriculture,,,,,"Wheat Irrigation and Yield Studies || This topic encompasses a series of field experiments across various agricultural universities in India and beyond, focusing on wheat (Triticum aestivum L.) cultivation. Studies investigate the impacts of different irrigation levels, nitrogen fertilization, seed rates, and restricted irrigation on wheat yield and productivity. Conducted over several Rabi seasons across diverse climatic conditions, these experiments aim to optimize wheat farming practices by enhancing growth attributes, maximizing yield, and improving crop performance under varying irrigation and nutrient management scenarios.",Wheat Fertilization Opportunity (Triticum aestivum L.) with Localized Irrigation,"In Argentina, the moment of application of agrochemicals on extensive crop dryland farming is reduced by the development of the vegetative phases. Although it is hardly implemented by producers, sprinkler irrigation extends the time period for the application of fertilizers. Localized irrigation, which has been incorporated into these production systems, increases the fertilization opportunity thus reducing the doses if compared to other irrigation methods. The aim of this paper was to assess the fertilization opportunity of the wheat yield (Triticum aestivum L.) by using localized irrigation in the city of Luján, Buenos Aires. The yield with traditional fertilizers was compared to other methods where fertilizers were fractioned. Klein Tauro wheat was planted on August 6th 2014. The field received the following treatments: dryland farming fertilization to the crop, fertilizer irrigation to the crop, irrigation through fractionation of fertilizers to the crop including the poaceae stage, irrigation though fractionation of fertilizers to the crop and pod filling, and irrigation through fractionation of fertilizers, poaceae stage and pod filling. Upon harvest, the yield and its components were assessed as well as the efficiency of water used as regards to the dry weight of the grain. Statistically, there were no significant differences (Tukey test, p-value 0. 05) except for the dry weight of 1000 grains, taking into account the dryland farming fertilization and the irrigation through fractionation of fertilizers and pod filling 42, 70 g and 37, 36 g respectively. Mid-levels were: dry weight of 1000 grains, 39, 74 g, crop yield, dry weight yield 3665, 75 kg ha-1. Mid efficiency in the production of matter considering the water used during the crop cycle was 7"
Agricultural Science and Technology,,,,,"Sustainable Composting in Agriculture || This topic explores various sustainable and environmentally friendly practices in agriculture, focusing on the use of compost, composted materials, and other organic wastes. It covers research and experiments on the effectiveness of using these materials as substrates or amendments in enhancing soil properties, promoting plant growth, and improving water use efficiency in nursery, greenhouse, and field settings. The emphasis is on recycling municipal, industrial, and agricultural wastes into valuable resources for plant cultivation, highlighting the potential for reducing reliance on traditional peat and improving soil fertility through innovative waste management strategies.",Testing of bio-organic fertilizer based on organic waste to improve the productivity of vineyards,"The authors developed an environmentally safe technology for obtaining liquid organic fertilizer. The technology includes obtaining compost by applying microflora containing actinomycetes and microscopic fungi, populating the compost with vermiculture Eisenia foetida and obtaining biohumus. In 2018-2020 fertilizers obtained from organic waste were used on industrial plantings of technical variety Bastardo Magarachsky (planting scheme: 3 ? 1.5 m, formation - double-shouldered cordon, rootstock - Kober 5 BB, non-irrigated culture) as foliar dressing. Climatic zone and place of experiment: South Coast agroclimatic area, sub-area - with subtropical winter (annual rainfall - 450-500 mm; hydrothermal coefficient of moisture - 0.5-0.6). Standard methods of agronomic observations of growth and development of grape plants were used in the work. Consumption rate 2 l/100 liters of water. The number of treatments - six, the terms of application: shoots growth; before flowering; after flowering; berry growth; beginning of softening; beginning of sugar accumulation (a month before harvesting). It was found that at the background of the same potential productivity of grape plants compared to the control, the yield increased by 15,9%; mass fraction of sugars in berry juice - by 7,1%, mash output - by 14,7%; technological stock of coloring and phenolic substances - by 7,6%."
Challenges and Prospects in Russian Agriculture,,,,,"Potato Irrigation Efficiency || Studies across various regions including Egypt, Ethiopia, Kermanshah, and Tunisia focus on optimizing water usage for potato cultivation. Techniques investigated include drip and furrow irrigation, bio-stimulants, and the impact of nitrogen sources and microbial treatments on yield and water productivity. Research encompasses field experiments on different irrigation regimes, exploring the effects on potato growth, yield, quality, and soil properties with the goal of enhancing irrigation efficiency under varying environmental conditions.",THE IMPACT OF INNOVATIVE TECHNOLOGICAL PRACTICES ON PRODUCTIVITY AND QUALITY OF POTATOES IN IRRIGATED AGROCENOSES OF VOLGA REGION,"Purpose: to study the efficiency of innovative agrotechnological practice application on the productivity and quality of potatoes in irrigated agrocenoses of Volga region. Materials and methods. Field experiments to assess the efficiency of the innovative agrotechnical practices application in potato cultivation were carried out in the experimental production farm of Volga Research Institute of Hydraulic Engineering and Land Reclamation on dark chestnut medium loamy soils; in CJSC TH “Gulliver” of Kislovsky district Volgograd region; in Peasant Farm Enterprise Leonov A. in Kharabalinsky district Astrakhan region on experimental plots of 30 hectares. Variants of experiments included the microfertilizer application and decapitation in the flowering phase. The control crops were the production crops without innovative methods. Assessment of feasibility of innovative agrotechnological practices application in potato cultivation on irrigated lands showed that their use had a positive impact on productivity and quality of the products obtained. The most profitable in the experiment should be considered the production of varieties with the highest yields and starch content in tubers – varieties Memphis with an yield of 61 t/ha and Flamingo with a starch content of 17 % in Saratov region, varieties Koroleva Anna 54 t/ha and Colombo 20 % in Volgograd region and varieties Evolution, where the yield was 61 t/ha and Riviera with a starch content of 24 % in Astrakhan region. Conclusions. The results of studying the features of formation and productivity of potato agrophytocenosis confirmed the high efficiency of using innovative cultivation methods to improve the quality indicators of yield during irrigation in Volga region."
Impact of Pesticides on Honey Bee Health,,,,,"Golf Course Turf Insecticide Studies || Research documents focus on evaluating insecticide treatments for managing pests on golf courses. Studies commonly utilize a randomized complete block (RCB) design, with treatments applied to plots of various grass compositions, including Kentucky bluegrass and perennial ryegrass. These treatments are replicated multiple times across different sites and assess formulation effectiveness in diverse turfgrass conditions. Liquid and granular insecticides are applied with precision equipment to ensure accurate dosing and coverage. This collective research aims to enhance turf management practices by identifying effective control methods for turf-damaging insects.","Efficacy of Insecticides for Control of Japanese Beetle Grubs in Kentucky, 1983","The main study (Test 1) was conducted in an irrigated Kentucky bluegrass fairway in Lexington, Ky. The initial infestation level was about eight third-stage beetle grubs per ft . Thatch accumulation was negligible and temperature at the time of treatment (9 a.m., 31 Aug.) was 85°C, with sunny skies and almost no wind. The experimental design was a RCB with four replications. Individual plots were 6 by 9 ft with a 1-ft boundary between all plots. Granular materials were mixed with sand and hand shaken over the plots. Liquid formulations were mixed with water at the proper rates and applied with a low volume CO2 sprayer equipped with four Spraying System 730308 Tee Jet nozzles operated at 30 lb/in2. After all treatments were applied, the entire site was irrigated with about 1.5 in. of water using the golf course sprinkler system. The pH of the water used for mixing sprays and for irrigation was 6.2. Surviving grubs were sampled after 9 and 28 days by cutting a 1 by 7-ft strip lengthwise through each plot with a mechanical sod cutter, and examining the sod and underlying soil for grubs. Because the variances were proportional to the squares of the treatment means, a logarithmic transformation was used before ANOVA. The actual means for the grub counts are reported in the table. To confirm the relative effectiveness of Diazinon vs. Mocap, a second test (Test 2) was conducted in another, heavily infested fairway (ca. Plots were 9 by 9 ft and were treated on 12 Sep. Methods of application, irrigation, sampling and data analysis were as described above. The plots were sampled 15 days after treatment (DAT)."
Sustainable Management of Rangelands and Livestock,,,,,"Small-Scale Irrigation Impact || This topic revolves around the examination of small-scale irrigation systems and their influence on farmers’ livelihoods, income levels, and food security within rural communities. It delves into the effects of participatory irrigation schemes, the challenges of managing these schemes, and the potential for irrigation to alleviate poverty among small-holder farmers. Studies focus on areas like the Upper West Region of Ghana, Ethiopia, and KwaZulu-Natal’s Mooi River Scheme, assessing the determinants of irrigation participation and its contribution to household economic stability and access to essential services.","FACTORS AFFECTINGSMALLHOLDER FARMERS PARTICIPATION AND LEVEL OF PARTICIPATION IN SMALL SCALE IRRIGATION: THE CASE OF DEDER DISTRICT OF EASTERN HARARGHE ZONE, ETHIOPIA","09Mar 2020 FACTORS AFFECTINGSMALLHOLDER FARMERS PARTICIPATION AND LEVEL OF PARTICIPATION IN SMALL SCALE IRRIGATION: THE CASE OF DEDER DISTRICT OF EASTERN HARARGHE ZONE, ETHIOPIA Bedasso Urgessa , Fekadu Beyene and Chaneyalew Seyoum Fedis Agricultural Research Center, Oromia Agricultural Research Institute. Department of Rural Development and Agricultural Extension, Haramaya University."
Food and Agriculture in Latin America,,,,,"""Climate Change Adaptation in Agriculture || This topic explores various studies on how climate change impacts agriculture across different regions, including Nepal, Ethiopia, Ghana, Bangladesh, Pakistan, and Zimbabwe. It focuses on farmers' perceptions, adaptation strategies to mitigate adverse effects on crop yields and food security, and the economic implications of climate change on farming communities. The studies assess local practices, socio-economic factors influencing adaptation, and the overall vulnerability of agriculture to changing climate conditions, emphasizing the importance of tailored strategies to sustain agricultural productivity.""",THE PLAN OF ACTION OF THE AGRICULTURE AND IRRIGATION SECTOR AGAINST CLIMATE CHANGE: AN OPPORTUNITY TO ARTICULATE EFFORTS,"The participation of the Peruvian greenhouse gasses emissions in the agriculture sector in the total emissions grew from 13% in 2005 to 15% in 2010 and 2012 (MINAM, 2016). However, do the global increase in Peruvian GHG emissions and the raising participation of the agriculture and livestock sector from 2005 to 2012 result from a lack of action around climate change? There are more than 25 strategies, plans and programs that exhibit actions about mitigation, adaptation and disasters risk management on the agriculture and irrigation sector. This investigation aims to demonstrate that these policies were made with a soft integration among them. For these matters, a density, weight and intermediation analysis through Gephi’s software, which constructs nets based on the proposed measures on all those documents for adaptation, mitigation and disasters risk management, will be made. Preliminary results show that the most articulated document for adaptation is the National Strategy against Climate Change, for mitigation the iNDC, the coffee’s and oil palm’s NAMAs and the Plan of Action for Adaptation and Mitigation against Climate Change, for disasters risk management the Budget Program 068, and in general the Ministry of Agriculture’s Multiannual Sectorial Strategic Plan. Keywords: Agriculture, irrigation, climate change, articulation, mitigation, adaptation, disasters risk management"
Food Security and Nutrition Research,,,,,"Potato Irrigation Efficiency || Studies across various regions including Egypt, Ethiopia, Kermanshah, and Tunisia focus on optimizing water usage for potato cultivation. Techniques investigated include drip and furrow irrigation, bio-stimulants, and the impact of nitrogen sources and microbial treatments on yield and water productivity. Research encompasses field experiments on different irrigation regimes, exploring the effects on potato growth, yield, quality, and soil properties with the goal of enhancing irrigation efficiency under varying environmental conditions.",Potato productivity against different variants of mineral nutrition and density of planting on irrigated soils in the forest-steppe of the middle Volga region,"The article studies the reaction of new Bellarosa potato variety on the introduction of calculated doses of mineral fertilizers and the density of planting in the forest-steppe soil of the Middle Volga region. The research shows that increased nutrition appropriately raises the yield of Bellarosa potato variety. The introduction of calculated fertilizer doses aimed at obtaining 30 tons of potato per hectare has increased the yield by 8.17–10.96 t/hectare depending on the planting density. Over 4 years of research the highest yield of 31.18 t/hectare was obtained when the planting density was 66.6 thousand tubers per hectare. It’s worth noting that higher planting density increased the effectiveness of the fertilizer introduced in calculated doses for this level of yield. The increase in potato harvest, in this case, was 4.22 and 5.81 t/hectare. The following increase in planting density with further enhancement of nutrition didn’t show such high effectiveness. For example, in the case of fertilizer dose calculated for the yield of 35 t/hectare the increase of density to 60.6 and 66.6 thousand tubers per hectare (in comparison with 55.5 thousand) gave the rise of 1.62 and 2.62 t/hectare in yield. Over 4 years of research the introduction of the fertilizer dose calculated for the yield of 40 t/hectare gave an additional 1.60 and 2.90 tons of potato per hectare."
Impact of Pollinator Decline on Ecosystems and Agriculture,,,,,"Insecticide Efficacy in Agriculture || This topic focuses on studies evaluating the effectiveness of various insecticides against the sweetpotato whitefly in different agricultural crops like cotton, squash, and cantaloupe. Experiments were conducted under specific conditions, including desert research environments and controlled greenhouse settings with heavy whitefly infestations. The studies utilized pots filled with Sunshine Mix® potting mixture, drip tube irrigation to maintain foliage dryness, and were structured around a randomized complete block design with varying treatments and replicates to assess insecticide performance meticulously.","Greenhouse Whitefly Control on Marigolds, Michigan, 1991","Marigold plants were raised from seed in 6"" clay pots for ten wk (10-12"" tall) in a research greenhouse infested with whitefly at Michigan State University. The plants were watered by a drip irrigation system for 2 min/d, 4 d/wk (Sun, Mon, Wed, and Fri). Each treatment was replicated 6 times, except the control which was replicated 5 times. Precounts of 6 leaves per plant were completed on 3 May. The leaves were sampled randomly from each plant (3 leaves from the top half and 3 leaves from the bottom half of the plant). Whitefly larvae and pupae on the undersides of leaves were counted within a 38 mm2 area on each of 24 leaflets per plant. Therefore, an area of 30 cm2 per plant was observed. Insecticides were applied with an R D CO2 sprayer with a single 8003 nozzle at 50 psi until runoff. Applications were applied 3 May, 10 May, and 17 May. Postcounts were made in the same manner as precounts on 24 May except whitefly pupae parasitized by Encarsia formosa were also counted. The no. of whiteflies reported for all sample dates is the total no. of whitefly larvae and pupae counted on leaf samples."
Sustainable Agricultural Development and Extension Services,,,,,"Maize Irrigation Efficiency || This topic explores various irrigation techniques and their impacts on maize yield and water use efficiency across different regions of Ethiopia. Studies encompass deficit irrigation strategies, alternate and fixed furrow irrigation systems, and the use of drip irrigation compared to conventional methods. Research aims to optimize water application intervals and amounts to achieve maximum maize production under water-scarce conditions. The focus is on evaluating irrigation scheduling, system efficiency, and the economic aspects of water usage in maize cultivation, highlighting the balance between water conservation and crop productivity.",Analysis of Crop Water Requirement for Maize with Planting Hole System under Dry Climate Condition,"Crop water requirement is an important factor to increase water use efficiency and avoid crop failure in dryland. A way to increase water use efficiency is by determining an irrigation interval scenario and utilizing a planting hole system. Research on the analysis of water requirement in the planting hole system with an irrigation interval for maize is still limited. Therefore, this study aims to analyze the level of water requirement for maize in dryland. This research was conducted in Camplong Village, Kupang District, East Nusa Tenggara (NTT) from January-May 2020. The design used was a split-plot of various treatments. There were three different techniques of applying fertilizer as the main plot, and two treatments of pruning maize leaves as sub-plots. The different treatments of fertilizer application includes: 1) mixing manure with rice husk charcoal (Ls+As), 2) separating manure from rice husk charcoal (Ls/As), 3) no addition of manure or rice husk charcoal into the planting hole (control). The sub-plots were divided into 2 treatments namely with leaf pruning (P) and without leaf pruning (TP). The water requirement was analyzed based on the FAO 56 approach with the production calculation in weight unit of tiles (ubinan). The results showed that 75% water efficiency was achieved or there was a water saving of 3,119 m3/ha/planting season when compared to conventional techniques. The highest maize productivity (7 tons/ha) was attained in treatment of mixing manure with rice husk charcoal with leaf pruning. The result indicated that this water savings may be used to expand the planting area to 3 ha."
Reproductive Health in Dairy Cattle,,,,,"Forage Quality and Dairy Grazing || This topic explores various studies focused on improving forage and pasture management for dairy and livestock farming. Research includes the evaluation of different grass species, such as ryegrass and clover, and their impact on milk production, grazing capacity, and forage nutritive value. Irrigation effects on forage growth, intercropping benefits, and the sustainability of pasture-based systems in different geographic regions are also examined. The goal is to enhance feed efficiency, animal health, and productivity within sustainable agricultural practices.",260 Effect of Dam Nutrition on Offspring Reproductive Performance,"Domestic ruminants utilize extensive pasture and rangelands as a primary source of nutrition. These forage sources vary greatly in nutritional content and availability due to season, plant species and climatic factors. Therefore, ruminants are exposed to nutrient excesses and deficiencies at varying points during the reproductive cycle. The objectives of this presentation are 1) to review our understanding of the impact of nutritional changes experienced by the dam during gestation on subsequent reproductive performance of female offspring, 2) examine the timing and duration of nutrient restriction on indicators of fertility in domestic ruminants and 3) compare responses under production conditions to mechanisms determined in controlled experiments. Depending on the time and severity of the nutrient deprivation, physiological effects include reduced gonadal weight, reduction in 2° and 3° follicles, alterations in the hypothalamic-pituitary axis, fetal weight and attainment of puberty. Anti-Müllerian hormone (AMH) and antral follicle count (AFC) are indicators of fertility in ruminants. Severe nutrient deprivation of heifers during the first trimester of gestation reduced AMH and AFC in female offspring. In contrast, a more moderate nutritional challenge to mature cows during early gestation did not result in changes in AMH and AFC in female offspring. Heifers from dams that grazed protein deficient range during the third trimester had delayed puberty onset and reduced pregnancy rates compared to heifers from supplemented dams. Recently, we compared indictors of fertility in heifers from dams that grazed range or irrigated pastures during the first two trimesters. Based on preliminary data, cows that grazed range were nutritionally challenged; however, heifers from range dams did not appear to differ in indicators of fertility from heifers from dams grazing irrigated pastures. Continued investigations on impacts of maternal nutrition on reproduction in offspring under production conditions are warranted."
